TIME,GEO,Value,Scaled_Values,Scaled_Values1
2007,Denmark,7.81,0.8864926220204312,1.8416158988240183
2008,Denmark,7.68,0.8717366628830873,1.7595617523858758
2009,Denmark,8.74,0.9920544835414301,2.4286186387276545
2010,Denmark,8.81,1.0,2.4728016406558853
2011,Denmark,8.75,0.9931895573212258,2.434930496145973
2000,Germany (until 1990 former territory of the FRG),4.45,0.5051078320090806,-0.279168193731052
2001,Germany (until 1990 former territory of the FRG),4.51,0.5119182746878547,-0.2412970492211403
2002,Germany (until 1990 former territory of the FRG),4.72,0.5357548240635641,-0.1087480434364484
2003,Germany (until 1990 former territory of the FRG),4.74,0.5380249716231555,-0.09612432859981078
2004,Germany (until 1990 former territory of the FRG),4.62,0.5244040862656072,-0.1718666176196348
2005,Germany (until 1990 former territory of the FRG),4.57,0.5187287173666288,-0.203425904711228
2006,Germany (until 1990 former territory of the FRG),4.43,0.5028376844494892,-0.29179190856768966
2007,Germany (until 1990 former territory of the FRG),4.49,0.5096481271282634,-0.25392076405777736
2008,Germany (until 1990 former territory of the FRG),4.57,0.5187287173666288,-0.203425904711228
2009,Germany (until 1990 former territory of the FRG),5.06,0.5743473325766174,0.10585510878638606
2010,Germany (until 1990 former territory of the FRG),5.08,0.5766174801362088,0.11847882362302367
2011,Germany (until 1990 former territory of the FRG),4.98,0.565266742338252,0.05536024943983727
2000,Estonia,5.57,0.6322360953461975,0.4277598371206383
2001,Estonia,5.24,0.5947786606129398,0.21946854231612237
2002,Estonia,5.47,0.6208853575482406,0.3646412629374513
2003,Estonia,5.29,0.6004540295119183,0.25102782940771556
2004,Estonia,4.92,0.5584562996594779,0.01748910492992498
2005,Estonia,4.88,0.5539160045402951,-0.007758324743349694
2006,Estonia,4.7,0.5334846765039728,-0.12137175827308545
2007,Estonia,4.72,0.5357548240635641,-0.1087480434364484
2008,Estonia,5.61,0.6367763904653803,0.45300726679391295
2009,Estonia,6.03,0.684449489216799,0.7181052783632967
2010,Estonia,5.66,0.6424517593643586,0.4845665538855062
2011,Estonia,5.16,0.5856980703745743,0.16897368296957302
2000,Ireland,4.29,0.48694665153234956,-0.3801579124241507
2001,Ireland,4.24,0.48127128263337116,-0.4117171995157439
2002,Ireland,4.27,0.48467650397275813,-0.39278162726078836
2003,Ireland,4.35,0.4937570942111237,-0.342286767914239
2004,Ireland,4.66,0.52894438138479,-0.1466191879463601
2005,Ireland,4.72,0.5357548240635641,-0.1087480434364484
2006,Ireland,4.73,0.5368898978433598,-0.1024361860181293
2007,Ireland,4.92,0.5584562996594779,0.01748910492992498
2008,Ireland,5.67,0.6435868331441543,0.4908784113038247
2009,Ireland,6.43,0.7298524404086265,0.970579575096043
2010,Ireland,6.41,0.7275822928490352,0.9579558602594059
2011,Ireland,6.15,0.6980703745743473,0.7938475673831208
2000,Greece,3.71,0.42111237230419973,-0.7462456426866332
2001,Greece,3.5,0.39727582292849034,-0.8787946484713252
2002,Greece,3.57,0.4052213393870601,-0.8346116465430946
2003,Greece,3.56,0.40408626560726446,-0.8409235039614131
2004,Greece,3.83,0.434733257661748,-0.6705033536668092
2005,Greece,4.09,0.4642451759364358,-0.5063950607905241
2006,Greece,0.0,0.0,-3.087944744882857
2007,Greece,0.0,0.0,-3.087944744882857
2008,Greece,0.0,0.0,-3.087944744882857
2009,Greece,0.0,0.0,-3.087944744882857
2010,Greece,0.0,0.0,-3.087944744882857
2011,Greece,0.0,0.0,-3.087944744882857
2000,Spain,4.28,0.4858115777525539,-0.3864697698424692
2001,Spain,4.24,0.48127128263337116,-0.4117171995157439
2002,Spain,4.25,0.4824063564131668,-0.4054053420974254
2003,Spain,4.28,0.4858115777525539,-0.3864697698424692
2004,Spain,4.25,0.4824063564131668,-0.4054053420974254
2005,Spain,4.23,0.4801362088535755,-0.41802905693406245
2006,Spain,4.26,0.4835414301929625,-0.3990934846791069
2007,Spain,4.34,0.49262202043132797,-0.34859862533255753
2008,Spain,4.62,0.5244040862656072,-0.1718666176196348
2009,Spain,5.02,0.5698070374574347,0.08060767911311138
2010,Spain,4.98,0.565266742338252,0.05536024943983727
2011,Spain,4.82,0.547105561861521,-0.045629469253261425
2000,France,6.04,0.6855845629965948,0.7244171357816153
2001,France,5.95,0.6753688989784336,0.6676104190167474
2002,France,5.9,0.6696935300794552,0.6360511319251542
2003,France,5.92,0.6719636776390465,0.6486748467617913
2004,France,5.8,0.6583427922814983,0.5729325577419673
2005,France,5.67,0.6435868331441543,0.4908784113038247
2006,France,5.61,0.6367763904653803,0.45300726679391295
2007,France,5.62,0.6379114642451759,0.4593191242122315
2008,France,5.62,0.6379114642451759,0.4593191242122315
2009,France,5.9,0.6696935300794552,0.6360511319251542
2010,France,5.86,0.6651532349602725,0.6108037022518795
2011,France,5.68,0.64472190692395,0.4971902687221432
2000,Italy,4.52,0.5130533484676503,-0.23498519180282176
2001,Italy,4.83,0.5482406356413166,-0.039317611834942895
